dia,2019,2020
01/03,119,6
02/03,29,115
03/03,3,199
04/03,6,170
05/03,0,164
06/03,146,158
07/03,243,29
08/03,204,3
09/03,58,183
10/03,0,191
11/03,212,172
12/03,203,151
13/03,182,152
14/03,201,27
15/03,131,3
16/03,32,197
17/03,2,173
18/03,193,199
19/03,166,169
20/03,182,191
21/03,194,34
22/03,144,2
23/03,34,171
24/03,2,155
25/03,167,142
26/03,178,133
27/03,170,119
28/03,164,54
29/03,138,1
30/03,33,201
31/03,3,202
01/04,143,162
02/04,184,181
03/04,164,229
04/04,157,59
05/04,174,2
06/04,21,222
07/04,1,219
08/04,181,281
09/04,187,207
10/04,170,1
11/04,165,29
12/04,170,1
13/04,27,273
14/04,5,267
15/04,216,314
16/04,161,244
17/04,173,221
18/04,162,69
19/04,6,0
20/04,4,164
