date,country,state,city,ibgeID,deaths,newCases,totalCases
2020-02-25,Brazil,SP,São Paulo/SP,3550308,0,1,1
2020-02-25,Brazil,TOTAL,TOTAL,0,0,1,1
2020-02-26,Brazil,SP,São Paulo/SP,3550308,0,0,1
2020-02-26,Brazil,TOTAL,TOTAL,0,0,0,1
2020-02-27,Brazil,SP,São Paulo/SP,3550308,0,0,1
2020-02-27,Brazil,TOTAL,TOTAL,0,0,0,1
2020-02-28,Brazil,SP,São Paulo/SP,3550308,0,1,2
2020-02-28,Brazil,TOTAL,TOTAL,0,0,1,2
2020-02-29,Brazil,SP,São Paulo/SP,3550308,0,0,2
2020-02-29,Brazil,TOTAL,TOTAL,0,0,0,2
2020-03-01,Brazil,SP,São Paulo/SP,3550308,0,0,2
2020-03-01,Brazil,TOTAL,TOTAL,0,0,0,2
2020-03-02,Brazil,SP,São Paulo/SP,3550308,0,0,2
2020-03-02,Brazil,TOTAL,TOTAL,0,0,0,2
2020-03-03,Brazil,SP,São Paulo/SP,3550308,0,0,2
2020-03-03,Brazil,TOTAL,TOTAL,0,0,0,2
2020-03-04,Brazil,SP,São Paulo/SP,3550308,0,1,3
2020-03-04,Brazil,TOTAL,TOTAL,0,0,1,3
2020-03-05,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,1
2020-03-05,Brazil,SP,São Paulo/SP,3550308,0,3,6
2020-03-05,Brazil,TOTAL,TOTAL,0,0,4,7
2020-03-06,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,1
2020-03-06,Brazil,BA,Feira de Santana/BA,2910800,0,1,1
2020-03-06,Brazil,ES,INDEFINIDA/ES,32,0,1,1
2020-03-06,Brazil,SP,INDEFINIDA/SP,35,0,4,4
2020-03-06,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,1,1
2020-03-06,Brazil,SP,São Paulo/SP,3550308,0,0,6
2020-03-06,Brazil,TOTAL,TOTAL,0,0,7,14
2020-03-07,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,1
2020-03-07,Brazil,DF,Brasília/DF,5300108,0,1,1
2020-03-07,Brazil,BA,Feira de Santana/BA,2910800,0,1,2
2020-03-07,Brazil,ES,INDEFINIDA/ES,32,0,0,1
2020-03-07,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,1
2020-03-07,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1,1
2020-03-07,Brazil,SP,São Paulo/SP,3550308,0,6,12
2020-03-07,Brazil,TOTAL,TOTAL,0,0,9,19
2020-03-08,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,1
2020-03-08,Brazil,DF,Brasília/DF,5300108,0,0,1
2020-03-08,Brazil,MG,Divinópolis/MG,3122306,0,1,1
2020-03-08,Brazil,BA,Feira de Santana/BA,2910800,0,0,2
2020-03-08,Brazil,ES,INDEFINIDA/ES,32,0,0,1
2020-03-08,Brazil,AL,Maceió/AL,2704302,0,1,1
2020-03-08,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,1,2
2020-03-08,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,1
2020-03-08,Brazil,SP,São Paulo/SP,3550308,0,3,15
2020-03-08,Brazil,TOTAL,TOTAL,0,0,6,25
2020-03-09,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,1
2020-03-09,Brazil,DF,Brasília/DF,5300108,0,0,1
2020-03-09,Brazil,MG,Divinópolis/MG,3122306,0,0,1
2020-03-09,Brazil,BA,Feira de Santana/BA,2910800,0,0,2
2020-03-09,Brazil,ES,INDEFINIDA/ES,32,0,0,1
2020-03-09,Brazil,AL,Maceió/AL,2704302,0,0,1
2020-03-09,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,2
2020-03-09,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,1
2020-03-09,Brazil,SP,São Paulo/SP,3550308,0,0,15
2020-03-09,Brazil,TOTAL,TOTAL,0,0,0,25
2020-03-10,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,1
2020-03-10,Brazil,DF,Brasília/DF,5300108,0,0,1
2020-03-10,Brazil,RS,Campo Bom/RS,4303905,0,1,1
2020-03-10,Brazil,MG,Divinópolis/MG,3122306,0,0,1
2020-03-10,Brazil,BA,Feira de Santana/BA,2910800,0,0,2
2020-03-10,Brazil,ES,INDEFINIDA/ES,32,0,0,1
2020-03-10,Brazil,RJ,INDEFINIDA/RJ,33,0,5,5
2020-03-10,Brazil,AL,Maceió/AL,2704302,0,0,1
2020-03-10,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,2
2020-03-10,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,1
2020-03-10,Brazil,SP,São Paulo/SP,3550308,0,3,18
2020-03-10,Brazil,TOTAL,TOTAL,0,0,9,34
2020-03-11,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,1
2020-03-11,Brazil,DF,Brasília/DF,5300108,0,1,2
2020-03-11,Brazil,RS,Campo Bom/RS,4303905,0,0,1
2020-03-11,Brazil,MG,Divinópolis/MG,3122306,0,0,1
2020-03-11,Brazil,BA,Feira de Santana/BA,2910800,0,1,3
2020-03-11,Brazil,ES,INDEFINIDA/ES,32,0,0,1
2020-03-11,Brazil,RJ,INDEFINIDA/RJ,33,0,5,10
2020-03-11,Brazil,AL,Maceió/AL,2704302,0,0,1
2020-03-11,Brazil,RS,Porto Alegre/RS,4314902,0,1,1
2020-03-11,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,2
2020-03-11,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,1
2020-03-11,Brazil,SP,São Paulo/SP,3550308,0,11,29
2020-03-11,Brazil,TOTAL,TOTAL,0,0,19,53
2020-03-12,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,1
2020-03-12,Brazil,DF,Brasília/DF,5300108,0,0,2
2020-03-12,Brazil,RS,Campo Bom/RS,4303905,0,0,1
2020-03-12,Brazil,RS,Caxias do Sul/RS,4305108,0,1,1
2020-03-12,Brazil,PR,Cianorte/PR,4105508,0,1,1
2020-03-12,Brazil,PR,Curitiba/PR,4106902,0,5,5
2020-03-12,Brazil,MG,Divinópolis/MG,3122306,0,0,1
2020-03-12,Brazil,BA,Feira de Santana/BA,2910800,0,0,3
2020-03-12,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,1,1
2020-03-12,Brazil,SC,Florianópolis/SC,4205407,0,2,2
2020-03-12,Brazil,GO,Goiânia/GO,5208707,0,2,2
2020-03-12,Brazil,ES,INDEFINIDA/ES,32,0,0,1
2020-03-12,Brazil,RJ,INDEFINIDA/RJ,33,0,-9,1
2020-03-12,Brazil,MG,Ipatinga/MG,3131307,0,1,1
2020-03-12,Brazil,AL,Maceió/AL,2704302,0,0,1
2020-03-12,Brazil,RN,Natal/RN,2408102,0,1,1
2020-03-12,Brazil,RJ,Niterói/RJ,3303302,0,1,1
2020-03-12,Brazil,RS,Porto Alegre/RS,4314902,0,1,2
2020-03-12,Brazil,PE,Recife/PE,2611606,0,2,2
2020-03-12,Brazil,GO,Rio Verde/GO,5218805,0,1,1
2020-03-12,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,11,13
2020-03-12,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,1
2020-03-12,Brazil,SP,São Paulo/SP,3550308,0,15,44
2020-03-12,Brazil,TOTAL,TOTAL,0,0,36,89
2020-03-13,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,1
2020-03-13,Brazil,DF,Brasília/DF,5300108,0,0,2
2020-03-13,Brazil,RS,Campo Bom/RS,4303905,0,0,1
2020-03-13,Brazil,RS,Caxias do Sul/RS,4305108,0,0,1
2020-03-13,Brazil,PR,Cianorte/PR,4105508,0,0,1
2020-03-13,Brazil,PR,Curitiba/PR,4106902,0,0,5
2020-03-13,Brazil,MG,Divinópolis/MG,3122306,0,0,1
2020-03-13,Brazil,BA,Feira de Santana/BA,2910800,0,1,4
2020-03-13,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,0,1
2020-03-13,Brazil,SC,Florianópolis/SC,4205407,0,0,2
2020-03-13,Brazil,GO,Goiânia/GO,5208707,0,0,2
2020-03-13,Brazil,AM,INDEFINIDA/AM,13,0,1,1
2020-03-13,Brazil,ES,INDEFINIDA/ES,32,0,0,1
2020-03-13,Brazil,RJ,INDEFINIDA/RJ,33,0,0,1
