dia, 2019, 2020
01/03, 199, 7
02/03, 35, 290,
03/03, 4, 314,
04/03, 6, 259
05/03, 4, 299
06/03, 181, 223,
07/03, 365, 58
08/03, 287, 2
09/03, 92, 274
10/03, 0, 256
11/03, 302, 268
12/03, 288, 207
13/03, 276, 248
14/03, 265, 34
15/03, 229, 7
16/03, 38, 303
17/03, 4, 298
18/03, 252, 294
19/03, 244, 286
20/03, 252, 284,
21/03, 258, 45
22/03, 218, 3
23/03, 53, 276
24/03, 1, 248
25/03, 289, 240
26/03, 271, 228
27/03, 257, 235
28/03, 276, 68
29/03, 198, 3
30/03, 48, 295
31/03, 3, 277
todos, 5195, 6129
